Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2022-10-23 22:57:27,2022-10-24 22:58:57,UTC-04:00,2022-10-24 17:30:45,2022-10-24 18:30:42,59,Box Fitness,10.2,401.0,166,111,24,22,23,14,15,false,,,
2022-10-21 01:33:32,2022-10-22 01:44:39,UTC-04:00,2022-10-21 22:34:56,2022-10-21 23:11:08,36,Walking,13.9,537.0,189,155,0,0,0,18,70,false,,,
2022-10-21 01:33:32,2022-10-22 01:44:39,UTC-04:00,2022-10-21 16:56:54,2022-10-21 18:04:56,68,Soccer,14.4,799.0,167,140,1,2,11,48,35,false,,,
2022-10-18 23:19:51,2022-10-19 22:29:54,UTC-04:00,2022-10-19 15:51:14,2022-10-19 16:30:17,39,Weightlifting,4.3,79.0,128,79,85,8,5,0,0,false,,,
2022-10-17 23:08:46,2022-10-18 23:19:51,UTC-04:00,2022-10-18 19:41:02,2022-10-18 20:56:24,75,Soccer,12.6,589.0,166,117,15,29,16,16,20,false,,,
2022-10-16 22:50:25,2022-10-17 23:08:46,UTC-04:00,2022-10-17 17:22:26,2022-10-17 18:33:31,71,Box Fitness,11.5,512.0,171,112,25,12,31,13,15,false,,,
2022-10-13 23:05:12,2022-10-15 00:06:46,UTC-04:00,2022-10-14 09:57:42,2022-10-14 10:38:23,40,Walking,11.1,428.0,164,131,4,4,20,47,23,false,,,
2022-10-12 23:48:25,2022-10-13 23:05:12,UTC-04:00,2022-10-13 15:24:05,2022-10-13 16:24:10,60,Spin,7.1,301.0,134,101,26,33,40,0,0,false,,,
2022-10-11 23:20:31,2022-10-12 23:48:25,UTC-04:00,2022-10-12 17:25:32,2022-10-12 18:53:30,87,Box Fitness,7.7,361.0,149,98,31,40,19,8,0,false,,,
2022-10-10 23:29:06,2022-10-11 23:20:31,UTC-04:00,2022-10-11 15:31:00,2022-10-11 16:39:44,68,Spin,5.6,216.0,122,85,52,39,8,0,0,false,,,
2022-10-10 00:11:44,2022-10-10 23:29:06,UTC-04:00,2022-10-10 17:20:42,2022-10-10 18:54:57,94,Box Fitness,12.6,692.0,164,115,14,26,29,21,7,false,,,
2022-10-07 00:00:34,2022-10-07 23:02:56,UTC-04:00,2022-10-07 16:33:10,2022-10-07 17:27:17,54,Box Fitness,8.2,366.0,146,112,5,31,54,8,0,false,,,
2022-10-05 23:18:15,2022-10-07 00:00:34,UTC-04:00,2022-10-06 17:31:16,2022-10-06 18:31:04,59,Box Fitness,13.6,613.0,173,129,12,4,24,32,19,false,,,
2022-10-03 22:07:59,2022-10-04 23:07:38,UTC-04:00,2022-10-04 18:53:44,2022-10-04 20:12:04,78,Soccer,13.2,684.0,175,123,13,18,13,37,15,false,,,
2022-10-02 23:33:29,2022-10-03 22:07:59,UTC-04:00,2022-10-03 17:31:33,2022-10-03 18:39:24,67,Box Fitness,11.8,482.0,180,114,17,36,14,12,14,false,,,
2022-10-02 01:40:21,2022-10-02 23:33:29,UTC-04:00,2022-10-02 16:01:13,2022-10-02 17:02:09,60,Spin,8.8,430.0,140,117,2,14,73,10,0,false,,,
2022-09-30 00:32:45,2022-09-30 22:02:05,UTC-04:00,2022-09-30 16:25:45,2022-09-30 17:30:25,64,Box Fitness,8.5,352.0,171,107,18,35,32,7,6,false,,,
2022-09-28 20:34:17,2022-09-30 00:32:45,UTC-04:00,2022-09-29 15:54:16,2022-09-29 16:41:25,47,Spin,8.9,370.0,147,120,0,25,39,34,0,false,,,
2022-09-25 21:50:59,2022-09-26 23:12:44,UTC-04:00,2022-09-26 17:33:18,2022-09-26 18:34:45,61,Box Fitness,9.1,401.0,155,110,14,30,30,22,1,false,,,
2022-09-22 00:08:44,2022-09-22 23:01:58,UTC-04:00,2022-09-22 16:17:04,2022-09-22 17:11:38,54,Spin,14.1,633.0,171,139,3,9,18,18,47,false,,,
2022-09-19 22:58:59,2022-09-20 22:50:19,UTC-04:00,2022-09-20 17:57:54,2022-09-20 19:04:10,66,Soccer,14.1,722.0,172,133,8,6,16,38,29,false,,,
2022-09-15 22:37:33,2022-09-17 00:08:36,UTC-04:00,2022-09-16 16:28:32,2022-09-16 17:32:50,64,Box Fitness,14.6,666.0,176,130,14,15,13,19,22,false,,,
2022-09-14 22:57:09,2022-09-15 22:37:33,UTC-04:00,2022-09-15 17:30:22,2022-09-15 18:38:41,68,Box Fitness,11.1,482.0,187,114,16,26,30,12,12,false,,,
2022-09-12 22:54:30,2022-09-14 00:21:37,UTC-04:00,2022-09-13 19:51:06,2022-09-13 20:54:39,63,Soccer,16.0,857.0,179,148,1,0,10,34,32,false,,,
2022-09-12 00:21:18,2022-09-12 22:54:30,UTC-04:00,2022-09-12 17:30:09,2022-09-12 18:46:26,76,Box Fitness,11.6,544.0,175,116,5,35,33,14,8,false,,,
2022-09-08 22:40:52,2022-09-09 21:53:02,UTC-04:00,2022-09-09 17:30:43,2022-09-09 18:38:57,68,Box Fitness,12.3,594.0,168,123,6,14,32,32,13,false,,,
2022-09-07 22:22:59,2022-09-08 22:40:52,UTC-04:00,2022-09-08 17:31:50,2022-09-08 18:35:53,64,Box Fitness,13.0,503.0,175,117,21,34,5,7,26,false,,,
2022-09-06 23:04:19,2022-09-07 22:22:59,UTC-04:00,2022-09-07 16:05:34,2022-09-07 16:36:01,30,Spin,7.9,268.0,142,123,8,6,40,44,0,false,,,
2022-09-05 23:27:27,2022-09-06 23:04:19,UTC-04:00,2022-09-06 18:52:22,2022-09-06 20:19:07,86,Soccer,17.0,1018.0,179,138,6,14,11,9,38,false,,,
2022-09-04 00:27:19,2022-09-05 01:29:07,UTC-04:00,2022-09-04 12:02:29,2022-09-04 12:55:08,52,Basketball,12.3,483.0,178,125,1,39,15,19,18,false,,,
2022-08-29 21:32:37,2022-08-30 22:49:34,UTC-04:00,2022-08-30 15:36:09,2022-08-30 16:21:04,44,Spin,7.7,274.0,151,111,25,23,23,23,3,false,,,
2022-08-28 23:31:50,2022-08-29 21:32:37,UTC-04:00,2022-08-29 17:24:06,2022-08-29 18:43:07,79,Box Fitness,,,,,,,,,,false,,,
2022-08-25 22:31:11,2022-08-27 00:35:10,UTC-04:00,2022-08-26 16:26:08,2022-08-26 17:35:08,68,Box Fitness,9.6,455.0,162,117,10,16,45,22,5,false,,,
2022-08-25 00:00:00,2022-08-25 22:31:11,UTC-04:00,2022-08-25 17:24:49,2022-08-25 18:33:27,68,Box Fitness,9.4,343.0,165,107,22,38,16,10,11,false,,,
